,location,bath,balcony,price,total_sqft_int,bhk
90,others,4.0,3.0,345.0,4500.0,4
91,others,3.0,2.0,240.0,2005.0,3
92,others,2.0,0.0,190.0,1567.2,3
93,others,2.0,2.0,150.0,1225.0,2
94,others,9.0,1.5843757375501535,500.0,4500.0,9
95,others,3.0,3.0,140.0,1800.0,3
97,others,2.0,2.0,97.0,1269.0,2
98,others,2.0,2.0,38.9,1070.0,2
99,others,2.0,2.0,38.0,1080.0,2
100,others,3.0,2.0,185.0,2401.0,3
101,others,4.0,1.5843757375501535,333.0,3900.0,4
102,others,4.0,1.0,120.0,1550.0,4
103,others,3.0,3.0,220.0,2100.0,3
104,others,3.0,2.0,185.0,2400.0,3
105,others,2.0,2.0,56.0,1206.0,2
106,others,2.0,2.0,70.0,1270.0,3
107,others,2.0,3.0,69.0,1312.0,2
108,others,2.0,2.0,48.0,1100.0,2
109,5th Phase JP Nagar,2.0,2.0,60.0,1075.0,2
110,5th Phase JP Nagar,3.0,3.0,52.5,1150.0,2
111,5th Phase JP Nagar,2.0,1.0,62.8,1256.0,2
112,5th Phase JP Nagar,2.0,2.0,63.0,1207.0,2
113,5th Phase JP Nagar,2.0,2.0,100.0,1725.0,3
114,5th Phase JP Nagar,2.0,2.0,60.0,1440.0,2
115,5th Phase JP Nagar,2.0,3.0,100.0,1700.0,3
117,5th Phase JP Nagar,5.0,1.5843757375501535,110.0,2500.0,5
118,5th Phase JP Nagar,1.0,1.0,30.0,600.0,1
119,5th Phase JP Nagar,2.0,2.0,65.0,1390.0,2
120,5th Phase JP Nagar,2.0,1.0,62.8,1256.0,2
121,5th Phase JP Nagar,2.0,0.0,48.0,1000.0,2
122,5th Phase JP Nagar,2.0,1.0,75.0,1350.0,3
123,5th Phase JP Nagar,1.0,1.0,23.5,552.0,1
124,5th Phase JP Nagar,2.0,2.0,51.0,1200.0,2
128,5th Phase JP Nagar,2.0,2.0,57.0,1030.0,2
129,5th Phase JP Nagar,2.0,1.0,68.0,1200.0,2
130,5th Phase JP Nagar,2.0,2.0,61.8,1190.0,2
131,5th Phase JP Nagar,5.0,2.0,170.0,4000.0,5
132,5th Phase JP Nagar,2.0,1.0,53.0,1080.0,2
133,5th Phase JP Nagar,2.0,2.0,54.0,1041.0,2
134,5th Phase JP Nagar,2.0,1.0,42.0,812.0,2
135,5th Phase JP Nagar,2.0,2.0,57.0,1010.0,2
137,5th Phase JP Nagar,2.0,2.0,60.0,1075.0,2
138,6th Phase JP Nagar,2.0,2.0,74.0,1192.0,2
139,6th Phase JP Nagar,2.0,3.0,80.0,1180.0,2
140,6th Phase JP Nagar,4.0,1.5843757375501535,250.0,3245.0,4
141,6th Phase JP Nagar,3.0,3.0,100.0,1645.0,3
142,6th Phase JP Nagar,2.0,2.0,65.0,1140.0,2
143,6th Phase JP Nagar,3.0,1.5843757375501535,200.0,2040.0,3
144,6th Phase JP Nagar,2.0,1.0,63.0,1213.0,2
145,6th Phase JP Nagar,2.0,2.0,60.0,1216.0,2
146,6th Phase JP Nagar,2.0,1.5843757375501535,80.0,1460.0,2
147,6th Phase JP Nagar,3.0,3.0,200.0,2003.0,3
148,6th Phase JP Nagar,3.0,3.0,131.0,1810.0,3
149,6th Phase JP Nagar,2.0,2.0,135.0,1515.0,3
150,6th Phase JP Nagar,2.0,3.0,75.0,1192.0,2
151,6th Phase JP Nagar,2.0,1.0,88.0,1280.0,2
152,others,2.0,1.0,110.0,1117.0,2
153,others,3.0,2.0,400.0,3000.0,3
154,others,3.0,1.0,528.0,3000.0,5
155,others,3.0,0.0,408.0,2400.0,3
156,others,2.0,1.0,293.0,1903.0,3
157,7th Phase JP Nagar,2.0,2.0,72.0,1080.0,2
158,7th Phase JP Nagar,2.0,2.0,93.0,1270.0,2
159,7th Phase JP Nagar,2.0,1.0,100.0,1420.0,3
160,7th Phase JP Nagar,3.0,1.0,150.0,1850.0,3
161,7th Phase JP Nagar,2.0,1.0,94.0,1245.0,2
162,7th Phase JP Nagar,2.0,1.0,82.0,1175.0,2
163,7th Phase JP Nagar,2.0,1.0,95.0,1400.0,3
164,7th Phase JP Nagar,3.0,1.0,160.0,2225.0,3
165,7th Phase JP Nagar,2.0,1.0,71.0,1050.0,2
166,7th Phase JP Nagar,2.0,0.0,46.0,1100.0,2
167,7th Phase JP Nagar,2.0,1.0,50.49,918.0,2
168,7th Phase JP Nagar,2.0,1.0,100.0,1450.0,3
169,7th Phase JP Nagar,2.0,1.0,49.98,1190.0,2
170,7th Phase JP Nagar,2.0,2.0,96.0,1420.0,3
171,7th Phase JP Nagar,3.0,2.0,120.0,1680.0,3
172,7th Phase JP Nagar,2.0,2.0,69.0,980.0,2
173,7th Phase JP Nagar,2.0,2.0,72.0,1180.0,2
177,7th Phase JP Nagar,3.0,1.0,115.0,1400.0,3
178,7th Phase JP Nagar,2.0,1.0,83.0,1270.0,2
180,7th Phase JP Nagar,4.0,0.0,188.0,2503.0,4
181,7th Phase JP Nagar,3.0,2.0,190.0,2200.0,3
184,7th Phase JP Nagar,2.0,2.0,110.0,1575.0,3
185,7th Phase JP Nagar,3.0,2.0,140.0,1850.0,3
186,7th Phase JP Nagar,2.0,2.0,120.0,1575.0,3
187,7th Phase JP Nagar,3.0,2.0,150.0,1850.0,3
188,7th Phase JP Nagar,3.0,2.0,120.0,1680.0,3
189,7th Phase JP Nagar,2.0,2.0,82.5,1175.0,2
192,7th Phase JP Nagar,2.0,2.0,90.0,1215.0,2
193,7th Phase JP Nagar,2.0,1.0,75.0,1050.0,2
194,7th Phase JP Nagar,3.0,2.0,89.13,1300.0,3
195,7th Phase JP Nagar,2.0,2.0,73.0,1130.0,2
196,7th Phase JP Nagar,3.0,2.0,100.0,1450.0,3
198,7th Phase JP Nagar,2.0,1.0,50.0,1050.0,2
199,7th Phase JP Nagar,2.0,1.0,87.0,1275.0,2
201,7th Phase JP Nagar,3.0,2.0,110.0,1650.0,3
202,7th Phase JP Nagar,2.0,2.0,42.0,850.0,2
203,7th Phase JP Nagar,3.0,2.0,117.0,1680.0,3
204,7th Phase JP Nagar,3.0,1.0,150.0,1850.0,3
205,7th Phase JP Nagar,2.0,2.0,61.33,1236.0,2
206,7th Phase JP Nagar,2.0,2.0,53.0,1000.0,2
207,7th Phase JP Nagar,3.0,2.0,125.0,1680.0,3
208,7th Phase JP Nagar,2.0,2.0,135.0,1675.0,3
209,7th Phase JP Nagar,2.0,1.0,59.0,1187.0,2
210,7th Phase JP Nagar,3.0,2.0,155.0,1850.0,3
211,7th Phase JP Nagar,2.0,1.0,61.0,1000.0,2
212,7th Phase JP Nagar,2.0,2.0,100.0,1460.0,3
213,7th Phase JP Nagar,3.0,3.0,110.0,1650.0,3
214,7th Phase JP Nagar,2.0,2.0,62.5,1200.0,2
215,7th Phase JP Nagar,2.0,1.0,70.65,1000.0,2
216,7th Phase JP Nagar,2.0,2.0,75.0,1080.0,2
218,7th Phase JP Nagar,3.0,3.0,125.0,1680.0,3
219,7th Phase JP Nagar,2.0,1.0,97.0,1460.0,3
220,7th Phase JP Nagar,2.0,2.0,65.0,1120.0,2
221,7th Phase JP Nagar,3.0,1.0,60.0,1100.0,2
222,7th Phase JP Nagar,3.0,3.0,120.0,1790.0,3
223,7th Phase JP Nagar,3.0,2.0,117.0,1680.0,3
224,7th Phase JP Nagar,2.0,1.0,77.0,1050.0,2
225,7th Phase JP Nagar,2.0,1.0,75.0,1050.0,2
226,7th Phase JP Nagar,2.0,1.0,75.0,1040.0,2
227,7th Phase JP Nagar,2.0,1.0,95.0,1400.0,3
228,7th Phase JP Nagar,3.0,2.0,130.0,1800.0,3
229,7th Phase JP Nagar,2.0,0.0,68.0,1050.0,2
230,7th Phase JP Nagar,2.0,2.0,60.0,1000.0,2
231,7th Phase JP Nagar,3.0,2.0,125.0,1680.0,3
232,7th Phase JP Nagar,2.0,1.0,77.47,1050.0,2
233,7th Phase JP Nagar,2.0,1.0,80.0,1270.0,2
235,7th Phase JP Nagar,3.0,2.0,122.0,1680.0,3
236,7th Phase JP Nagar,2.0,2.0,85.0,1130.0,2
237,7th Phase JP Nagar,3.0,3.0,130.0,1680.0,3
238,7th Phase JP Nagar,2.0,1.0,77.44,980.0,2
239,7th Phase JP Nagar,3.0,2.0,112.0,1680.0,3
241,7th Phase JP Nagar,3.0,2.0,150.0,2095.0,3
242,7th Phase JP Nagar,3.0,1.0,145.0,1976.0,3
243,7th Phase JP Nagar,2.0,2.0,110.0,1600.0,3
244,7th Phase JP Nagar,3.0,2.0,118.0,1765.0,3
245,7th Phase JP Nagar,2.0,2.0,88.0,1275.0,3
246,7th Phase JP Nagar,2.0,1.0,102.0,1450.0,3
247,7th Phase JP Nagar,2.0,2.0,110.0,1575.0,3
249,7th Phase JP Nagar,1.0,2.0,47.0,750.0,1
250,7th Phase JP Nagar,2.0,2.0,50.0,990.0,2
251,7th Phase JP Nagar,1.0,1.0,60.0,1000.0,1
253,7th Phase JP Nagar,2.0,1.0,102.0,1430.0,3
254,7th Phase JP Nagar,2.0,1.0,60.0,1128.0,2
255,7th Phase JP Nagar,2.0,1.0,57.0,1140.0,2
256,7th Phase JP Nagar,3.0,2.0,90.0,1420.0,3
257,7th Phase JP Nagar,2.0,1.0,108.0,1530.0,2
258,others,2.0,2.0,110.0,1100.0,2
259,8th Phase JP Nagar,2.0,0.0,54.005,1073.5,2
261,8th Phase JP Nagar,2.0,1.0,42.47,1062.0,2
263,8th Phase JP Nagar,3.0,2.0,73.31,1455.0,3
264,8th Phase JP Nagar,2.0,1.0,43.91,1098.0,2
265,8th Phase JP Nagar,3.0,1.0,80.0,1800.0,3
266,8th Phase JP Nagar,4.0,2.0,130.0,2700.0,4
267,8th Phase JP Nagar,2.0,2.0,38.0,1080.0,2
268,8th Phase JP Nagar,2.0,2.0,34.5,1059.0,2
269,8th Phase JP Nagar,2.0,2.0,35.0,1080.0,2
271,8th Phase JP Nagar,2.0,1.0,42.47,1062.0,2
272,8th Phase JP Nagar,1.0,1.0,31.0,500.0,1
273,8th Phase JP Nagar,2.0,2.0,35.0,1100.0,2
274,8th Phase JP Nagar,4.0,3.0,92.0,2100.0,4
275,8th Phase JP Nagar,2.0,1.0,39.33,1035.0,2
276,8th Phase JP Nagar,2.0,1.0,40.9,909.0,2
277,8th Phase JP Nagar,3.0,0.0,72.02,1431.5,3
278,8th Phase JP Nagar,4.0,1.0,90.0,1900.0,3
279,8th Phase JP Nagar,1.0,1.0,30.0,500.0,1
280,8th Phase JP Nagar,2.0,2.0,36.94,1125.0,2
281,8th Phase JP Nagar,2.0,3.0,35.0,1100.0,2
282,8th Phase JP Nagar,2.0,1.0,43.55,1089.0,2
283,8th Phase JP Nagar,2.0,2.0,65.0,1605.0,3
284,8th Phase JP Nagar,2.0,2.0,83.0,1504.0,3
285,8th Phase JP Nagar,4.0,2.0,115.0,2600.0,4
287,8th Phase JP Nagar,2.0,1.0,43.55,1089.0,2
289,8th Phase JP Nagar,2.0,3.0,62.0,1513.0,2
290,8th Phase JP Nagar,2.0,1.0,59.0,1298.0,2
291,8th Phase JP Nagar,2.0,0.0,44.0,1006.0,2
292,8th Phase JP Nagar,2.0,1.0,59.0,1245.0,2
293,8th Phase JP Nagar,2.0,3.0,80.0,1510.0,2
294,8th Phase JP Nagar,3.0,2.0,165.0,3300.0,3
297,8th Phase JP Nagar,2.0,1.0,48.0,1046.0,2
299,8th Phase JP Nagar,3.0,2.0,80.0,1408.0,3
301,others,3.0,2.0,300.0,1846.0,3
302,others,1.0,0.0,233.0,1410.0,2
303,others,2.0,1.0,135.0,1165.0,2
304,others,3.0,2.0,290.0,2400.0,3
305,others,1.0,0.0,150.0,700.0,1
306,others,4.0,1.0,240.0,1440.0,4
307,9th Phase JP Nagar,2.0,1.0,50.0,1005.0,2
309,9th Phase JP Nagar,2.0,1.0,45.0,1035.0,2
310,9th Phase JP Nagar,4.0,3.0,290.0,5000.0,4
311,9th Phase JP Nagar,2.0,1.0,56.0,1164.0,2
312,9th Phase JP Nagar,2.0,1.0,42.0,1005.0,2
313,9th Phase JP Nagar,2.0,1.0,50.0,1127.0,2
314,9th Phase JP Nagar,2.0,1.0,43.0,1005.0,2
315,9th Phase JP Nagar,2.0,0.0,37.0,835.0,2
316,9th Phase JP Nagar,2.0,2.0,39.0,1050.0,2
317,9th Phase JP Nagar,2.0,2.0,71.0,1466.0,2
318,9th Phase JP Nagar,2.0,1.5843757375501535,93.0,1890.0,3
319,9th Phase JP Nagar,2.0,1.0,60.0,1079.0,2
320,9th Phase JP Nagar,2.0,1.0,80.0,1480.0,2
321,9th Phase JP Nagar,2.0,1.0,52.36,1073.0,2
322,9th Phase JP Nagar,2.0,2.0,88.0,1719.3,3
323,9th Phase JP Nagar,3.0,2.0,88.0,1780.0,3
327,9th Phase JP Nagar,2.0,2.0,45.0,890.0,2
328,9th Phase JP Nagar,2.0,2.0,69.0,1331.95,2
329,others,2.0,1.0,35.0,600.0,1
330,others,2.0,0.0,85.0,1500.0,1
331,others,2.0,3.0,45.0,1100.0,2
332,others,2.0,1.0,42.0,1028.0,2
333,others,2.0,2.0,65.0,1199.0,2
334,others,2.0,2.0,55.0,1080.0,2
335,others,2.0,2.0,64.0,1123.0,2
336,others,2.0,1.0,60.0,1308.0,2
337,others,2.0,1.0,55.0,1005.0,2
339,others,2.0,2.0,85.0,1450.0,3
340,others,2.0,1.0,46.79,1040.0,2
341,others,3.0,0.0,110.0,1936.0,3
342,others,2.0,1.0,48.38,1075.0,2
343,others,2.0,2.0,80.0,1650.0,3
344,others,2.0,3.0,50.0,1310.0,3
345,others,2.0,1.0,38.45,1100.0,2
346,others,2.0,1.0,38.49,1100.0,2
347,others,2.0,2.0,41.0,1190.0,2
348,others,2.0,2.0,38.5,1100.0,2
349,Abbigere,2.0,1.0,40.39,985.0,2
350,Abbigere,2.0,2.0,30.0,765.0,1
351,Abbigere,2.0,1.0,35.0,880.0,2
352,Abbigere,2.0,1.0,32.54,795.0,2
353,Abbigere,2.0,1.0,39.59,1005.0,2
355,Abbigere,2.0,1.0,41.82,1020.0,2
356,Abbigere,2.0,1.0,40.39,985.0,2
357,Abbigere,6.0,0.0,81.0,2500.0,6
358,Abbigere,2.0,1.0,32.54,795.0,2
359,Abbigere,2.0,1.0,46.33,1130.0,2
360,Abbigere,1.0,1.0,32.6,795.0,2
361,Abbigere,2.0,1.0,38.92,985.0,2
362,Abbigere,2.0,1.0,41.0,1000.0,2
363,Abbigere,2.0,1.0,40.8,995.0,2
364,Abbigere,2.0,1.0,40.8,1020.0,2
365,others,1.0,0.0,72.0,800.0,1
366,others,1.0,0.0,120.0,1350.0,3
367,others,3.0,1.0,113.0,2250.0,3
368,others,2.0,0.0,51.0,1053.0,2
369,Akshaya Nagar,2.0,3.0,57.0,1388.0,2
370,Akshaya Nagar,2.0,1.0,54.0,1070.0,2
371,Akshaya Nagar,2.0,1.5843757375501535,58.0,1280.0,2
372,Akshaya Nagar,3.0,3.0,85.1,1662.0,3
373,Akshaya Nagar,3.0,2.0,120.0,1897.0,3
374,Akshaya Nagar,2.0,2.0,75.0,1410.0,3
375,Akshaya Nagar,2.0,2.0,85.0,1360.0,3
377,Akshaya Nagar,2.0,2.0,80.0,1410.0,3
378,Akshaya Nagar,3.0,2.0,85.0,1662.0,3
379,Akshaya Nagar,3.0,2.0,85.5,1662.0,3
380,Akshaya Nagar,2.0,1.0,60.0,1280.0,2
381,Akshaya Nagar,3.0,1.5843757375501535,95.0,1666.0,3
382,Akshaya Nagar,3.0,1.5843757375501535,90.0,1575.0,3
383,Akshaya Nagar,2.0,2.0,75.0,1430.0,3
384,Akshaya Nagar,2.0,3.0,73.0,1419.0,3
385,Akshaya Nagar,2.0,1.0,60.0,1280.0,2
386,Akshaya Nagar,2.0,1.0,50.0,1200.0,2
387,Akshaya Nagar,2.0,1.0,60.0,1092.0,2
388,Akshaya Nagar,3.0,2.0,85.0,1690.0,3
390,Akshaya Nagar,4.0,2.0,93.0,1897.0,3
391,Akshaya Nagar,3.0,3.0,98.0,1884.0,3
392,Akshaya Nagar,2.0,2.0,68.8,1314.0,2
393,Akshaya Nagar,3.0,2.0,85.0,1690.0,3
394,Akshaya Nagar,2.0,3.0,67.0,1265.0,2
395,Akshaya Nagar,2.0,1.0,55.0,1126.0,2
397,Akshaya Nagar,3.0,1.5843757375501535,90.0,1662.0,3
398,Akshaya Nagar,2.0,2.0,75.0,1420.0,3
399,Akshaya Nagar,2.0,3.0,88.0,1412.0,3
400,Akshaya Nagar,3.0,3.0,84.0,1434.0,3
401,Akshaya Nagar,4.0,2.0,100.0,1890.0,3
403,Akshaya Nagar,2.0,3.0,87.0,1419.0,3
404,Akshaya Nagar,2.0,1.0,54.0,1300.0,2
405,Akshaya Nagar,3.0,2.0,85.0,1690.0,3
406,Akshaya Nagar,2.0,1.0,52.0,1113.0,2
407,Akshaya Nagar,4.0,2.0,95.0,1820.0,3
408,Akshaya Nagar,2.0,2.0,48.0,1100.0,2
409,Akshaya Nagar,3.0,2.0,102.0,1896.0,3
410,Akshaya Nagar,2.0,2.0,66.0,1300.0,2
411,Akshaya Nagar,2.0,0.0,68.0,1225.0,2
412,Akshaya Nagar,2.0,1.0,51.0,1179.0,2
413,Akshaya Nagar,2.0,2.0,73.0,1421.0,3
414,Akshaya Nagar,4.0,2.0,95.0,1893.0,3
415,Akshaya Nagar,2.0,1.0,45.0,900.0,2
416,others,4.0,3.0,170.0,4000.0,4
417,others,2.0,1.0,49.0,1300.0,3
418,others,2.0,2.0,49.0,1280.0,3
419,others,2.0,1.0,49.0,1260.0,3
420,others,2.0,2.0,52.0,1427.0,2
421,others,3.0,2.0,108.0,1693.0,3
422,others,2.0,1.0,76.0,1210.0,2
423,others,3.0,2.0,67.23,1519.0,3
424,others,3.0,2.0,70.39,1595.0,3
425,others,2.0,1.0,50.0,1230.0,2
426,others,1.0,1.0,40.0,595.0,1
427,others,2.0,2.0,44.0,1145.0,2
428,others,6.0,0.0,130.0,2400.0,6
429,others,2.0,1.0,75.0,1380.0,2
430,others,2.0,1.0,58.0,1320.0,3
431,others,2.0,1.5843757375501535,43.79,1240.0,2
432,others,2.0,2.0,38.0,1050.0,2
433,others,2.0,2.0,46.41,1190.0,2
434,others,1.0,1.0,20.0,530.0,1
435,others,1.0,1.0,15.0,425.0,1
436,others,3.0,1.0,61.0,1355.0,3
437,Ambalipura,2.0,1.0,75.0,1105.0,2
438,Ambalipura,3.0,3.0,110.0,1800.0,3
439,Ambalipura,2.0,2.0,80.0,1150.0,2
440,Ambalipura,2.0,2.0,66.25,1250.0,2
441,Ambalipura,2.0,1.0,79.0,1332.0,2
442,Ambalipura,3.0,1.0,120.0,1730.0,3
444,Ambalipura,2.0,2.0,66.25,1230.0,2
445,Ambalipura,2.0,1.0,77.0,1351.0,2
449,Ambalipura,2.0,2.0,80.0,1303.0,2
450,Ambalipura,2.0,2.0,112.0,1607.0,3
451,Ambalipura,1.0,2.0,43.82,770.0,1
452,Ambalipura,2.0,2.0,76.0,1700.0,2
453,Ambalipura,2.0,1.0,58.5,1060.0,2
454,Ambalipura,3.0,3.0,100.0,1650.0,3
455,Ambalipura,2.0,2.0,112.0,1607.0,3
456,Ambalipura,2.0,2.0,80.0,1198.0,2
457,others,2.0,1.0,140.0,1468.0,2
458,others,1.0,1.0,142.0,1463.0,2
459,others,3.0,1.0,190.0,1910.0,3
460,others,2.0,1.0,145.0,1464.0,2
461,Ambedkar Nagar,4.0,2.0,130.0,1935.0,3
462,Ambedkar Nagar,2.0,2.0,90.0,1424.0,2
463,Ambedkar Nagar,4.0,2.0,169.0,2225.0,3
464,Ambedkar Nagar,3.0,2.0,120.0,1862.0,3
465,Ambedkar Nagar,4.0,3.0,139.0,1850.0,3
466,Ambedkar Nagar,4.0,2.0,126.0,1936.0,3
467,Ambedkar Nagar,3.0,2.0,119.0,1862.0,3
468,Ambedkar Nagar,2.0,2.0,90.0,1424.0,2
469,Ambedkar Nagar,4.0,2.0,125.0,2150.0,3
470,Ambedkar Nagar,4.0,2.0,290.0,3530.0,4
471,Ambedkar Nagar,3.0,1.0,120.0,1856.0,3
472,Ambedkar Nagar,3.0,2.0,130.0,1852.0,3
473,Ambedkar Nagar,4.0,2.0,120.0,1850.0,3
474,Ambedkar Nagar,2.0,2.0,86.0,1367.0,2
475,Ambedkar Nagar,4.0,3.0,255.0,3565.0,4
476,Ambedkar Nagar,2.0,2.0,95.0,1409.0,2
477,Ambedkar Nagar,4.0,2.0,120.0,1950.0,3
478,Ambedkar Nagar,4.0,3.0,129.0,1921.0,3
479,Ambedkar Nagar,4.0,2.0,121.0,1920.0,3
480,Ambedkar Nagar,4.0,2.0,125.0,1935.0,3
481,Ambedkar Nagar,4.0,2.0,122.0,1852.0,3
482,Ambedkar Nagar,4.0,2.0,120.0,1950.0,3
483,Ambedkar Nagar,3.0,2.0,125.0,1852.0,3
484,Ambedkar Nagar,4.0,2.0,121.0,1850.0,3
485,Ambedkar Nagar,2.0,1.0,94.0,1425.0,2
486,Ambedkar Nagar,4.0,2.0,150.0,2395.0,3
487,others,3.0,2.0,100.0,1605.0,3
488,others,2.0,1.0,80.0,1300.0,3
489,others,2.0,2.0,83.0,1175.0,2
490,Amruthahalli,2.0,1.0,40.0,900.0,2
491,Amruthahalli,2.0,2.0,55.0,1200.0,2
492,Amruthahalli,3.0,1.0,135.0,1900.0,3
493,Amruthahalli,2.0,1.0,45.0,924.0,2
494,Amruthahalli,2.0,1.0,60.0,900.0,2
495,Amruthahalli,2.0,1.0,45.0,1100.0,2
496,Amruthahalli,2.0,1.0,55.0,1200.0,2
500,Amruthahalli,2.0,1.0,85.0,1450.0,3
501,Amruthahalli,2.0,2.0,55.0,1200.0,2
502,Amruthahalli,2.0,2.0,79.0,1250.0,2
503,Amruthahalli,2.0,2.0,50.0,1190.0,2
504,Amruthahalli,2.0,1.0,65.0,1202.0,2
505,Amruthahalli,2.0,1.0,75.0,1340.0,2
506,Amruthahalli,4.0,0.0,175.0,2650.0,3
507,Amruthahalli,2.0,1.0,90.0,1450.0,3
508,Amruthahalli,2.0,1.0,42.0,1025.0,2
509,Amruthahalli,1.0,1.0,19.5,485.0,1
510,others,2.0,1.0,67.5,1350.0,2
511,others,3.0,2.0,60.0,1365.0,2
512,others,2.0,1.0,51.0,1000.0,2
513,others,2.0,2.0,55.0,1060.0,2
514,others,2.0,3.0,55.0,1135.0,2
515,others,3.0,1.0,420.0,3515.0,3
516,others,2.0,2.0,75.0,1080.0,3
517,others,2.0,0.0,70.0,1200.0,2
518,others,3.0,3.0,125.0,2010.0,3
519,Anandapura,2.0,1.0,43.76,1167.0,2
520,Anandapura,2.0,1.0,55.0,1000.0,2
521,Anandapura,2.0,1.0,42.79,1141.0,2
523,Anandapura,2.0,1.0,58.0,1200.0,2
524,Anandapura,2.0,1.0,43.1,1151.0,2
525,Anandapura,2.0,1.0,42.75,1141.0,2
526,Anandapura,2.0,0.0,48.0,900.0,2
527,Anandapura,4.0,0.0,90.0,1749.0,4
528,Anandapura,2.0,1.0,42.9,1151.0,2
530,Anandapura,2.0,2.0,45.0,1250.0,2
531,Anandapura,2.0,1.0,43.16,1151.0,2
532,Anandapura,2.0,0.0,58.0,1200.0,2
533,Anandapura,2.0,0.0,66.0,1200.0,3
534,Anandapura,2.0,1.0,74.0,1415.0,3
